Typ;cislo;nazev;jizdni rad
R;904;Bouzov;Šumperk 16.09, Zábøeh na Moravì 16.22-16.35, Olomouc hl.n. 17.01-17.06, Brno hl.n. 18.43 
R;905;Bouzov;Brno hl.n. 9.18, Olomouc hl.n. 10.52-10.56, Zábøeh na Moravì 11.22-11.26, Šumperk 11.41
R;906;Bouzov;Šumperk 14.09, Zábøeh na Moravì 14.22-14.35, Olomouc hl.n. 15.01-15.06, Brno hl.n. 16.43 
R;907;Bouzov;Brno hl.n. 11.18, Olomouc hl.n. 12.52-12.56, Zábøeh na Moravì 13.22-13.26, Šumperk 13.41
R;908;Bouzov;Šumperk 12.09, Zábøeh na Moravì 12.22-12.35, Olomouc hl.n. 13.01-13.06, Brno hl.n. 14.43
R;909;Bouzov;Brno hl.n. 13.18, Olomouc hl.n. 14.52-14.56, Zábøeh na Moravì 15.22-15.26, Šumperk 15.41
R;910;Bouzov;Šumperk 10.09, Zábøeh na Moravì 10.22-10.35, Olomouc hl.n. 11.01-11.06, Brno hl.n. 12.42
R;911;Bouzov;Brno hl.n. 15.18, Olomouc hl.n. 16.52-16.56, Zábøeh na Moravì 17.22-17.26, Šumperk 17.41
R;912;Bouzov;Šumperk 8.09, Zábøeh na Moravì 8.22-8.35, Olomouc hl.n. 9.01-9.06, Brno hl.n. 10.42
R;913;Bouzov;Brno hl.n. 17.18, Olomouc hl.n. 18.52-18.56, Zábøeh na Moravì 19.24-19.26, Šumperk 19.43 
R;914;Bouzov;Šumperk 6.11, Zábøeh na Moravì 6.30-6.31, Olomouc hl.n. 7.00-7.06, Brno hl.n. 8.42
R;915;Bouzov;Brno hl.n. 19.18, Olomouc hl.n. 20.52-20.56, Zábøeh na Moravì 21.24-21.26, Šumperk 21.41
